code,name_en,name_km,kind,parent_id,latitude,longitude
01,Banteay Meanchey,បន្ទាយមានជ័យ,province,,13.593741,102.964113
02,Battambang,បាត់ដំបង,province,,13.093503,103.174847
03,Kampong Cham,កំពង់ចាម,province,,12.058786,105.259381
04,Kampong Chhnang,កំពង់ឆ្នាំង,province,,12.252682,104.662794
05,Kampong Speu,កំពង់ស្ពឺ,province,,11.568812,104.356552
06,Kampong Thom,កំពង់ធំ,province,,12.732815,105.080571
07,Kampot,កំពត,province,,10.815549,104.361005
08,Kandal,កណ្ដាល,province,,11.389989,105.033890
09,Koh Kong,កោះកុង,province,,11.555066,103.409317
10,Kratie,ក្រចេះ,province,,12.500994,106.034898
11,Mondul Kiri,មណ្ឌលគិរី,province,,12.701801,107.028397
12,Phnom Penh,ភ្នំពេញ,province,,11.561841,104.873009
13,Preah Vihear,ព្រះវិហារ,province,,13.756433,104.950190
14,Prey Veng,ព្រៃវែង,province,,11.332574,105.513992
15,Pursat,ពោធិ៍សាត់,province,,12.360687,103.765000
16,Ratanak Kiri,រតនគិរី,province,,13.751761,107.007189
17,Siemreap,សៀមរាប,province,,13.600126,103.973253
18,Preah Sihanouk,ព្រះសីហនុ,province,,10.711682,103.819199
19,Stung Treng,ស្ទឹងត្រែង,province,,13.519419,105.992663
20,Svay Rieng,ស្វាយរៀង,province,,11.096609,105.818799
21,Takeo,តាកែវ,province,,10.995313,104.781110
22,Oddar Meanchey,ឧត្ដរមានជ័យ,province,,14.174234,103.728319
23,Kep,កែប,province,,10.542105,104.320004
24,Pailin,ប៉ៃលិន,province,,12.850431,102.629377
25,Tboung Khmum,ត្បូងឃ្មុំ,province,,11.933720,105.854230
